レース,year,着順,枠番,馬番,馬名,レース数,G1最高,G2最高,G3最高,性齢,斤量,騎手,タイム,上り,単勝,人気,馬体重,馬体重増減,東西,調教師,馬主
NHKM,2014,5,4,7,ホウライアキコ,6,4,1,1,牝3,55,和田竜二,01:33.3,34.7,22.9,8,440,-2,西, 南井克巳,小林茂行
NHKM,2014,6,3,5,ショウナンアチーヴ,7,2,1,6,牡3,57,戸崎圭太,01:33.3,34.3,8.7,3,474,4,東, 国枝栄,国本哲秀
NHKM,2014,7,2,3,ダンツキャンサー,7,,,15,牝3,55,藤田伸二,01:33.5,34.8,196.9,18,466,0,西, 谷潔,山元哲二
NHKM,2014,8,5,9,アトム,3,5,2,,牡3,57,川田将雅,01:33.6,34.3,17.4,7,460,12,西, 池江泰寿,杉山忠国
NHKM,2014,9,4,8,サトノルパン,6,,,2,牡3,57,武豊,01:33.6,34.3,8.9,4,454,6,西, 村山明,里見治
NHKM,2014,10,6,12,ショウナンワダチ,5,6,2,8,牡3,57,北村宏司,01:33.7,34,16.1,6,474,-2,東, 大竹正博,国本哲秀
NHKM,2014,11,7,14,ウインフェニックス,9,,5,4,牡3,57,石橋脩,01:33.8,34.3,52.2,9,452,2,東, 奥平雅士,ウイン
NHKM,2014,12,3,6,ベルルミエール,7,,3,4,牝3,55,川島信二,01:34.0,35,55.9,11,444,-6,西, 高橋亮,佐々木政充
NHKM,2014,13,8,16,エイシンブルズアイ,5,,,2,牡3,57,福永祐一,01:34.0,34.4,13.5,5,450,-2,西, 野中賢二,栄進堂
NHKM,2014,14,7,15,アドマイヤビジン,10,6,4,3,牝3,55,四位洋文,01:34.1,34.2,84.1,13,468,-10,西, 梅田智之,近藤利一
NHKM,2014,15,8,18,ピークトラム,11,,3,3,牡3,57,横山典弘,01:34.2,34.9,105,16,460,-4,西, 橋口弘次,吉田照哉
NHKM,2014,16,8,17,マイネルディアベル,9,,4,6,牡3,57,ウィリア,01:34.3,34.8,89.8,15,442,0,東, 大和田成,サラブレッドクラブ・ラフィアン
NHKM,2014,17,7,13,アルマエルナト,10,,4,3,牡3,57,吉田豊,01:34.5,34.7,55,10,466,2,東, 伊藤大士,コウトミックレーシング
NHKM,2014,18,6,11,カラダレジェンド,4,,1,7,牡3,57,江田照男,01:34.8,35.7,89.6,14,464,-6,東, 尾形和幸,子安裕樹
NHKM,2015,1,4,7,クラリティスカイ,7,3,6,,牡3,57,横山典弘,01:33.5,33.9,6.4,3,478,-4,西, 友道康夫,杉山忠国
NHKM,2015,2,5,9,アルビアーノ,3,,,1,牝3,55,柴山雄一,01:33.7,34.4,6.5,4,512,6,東, 木村哲也,吉田和美
NHKM,2015,3,6,12,ミュゼスルタン,3,,7,1,牡3,57,柴田善臣,01:33.7,33.8,5.9,2,470,-6,東, 大江原哲,高橋仁
NHKM,2015,4,1,1,アヴニールマルシェ,4,,2,,牡3,57,北村宏司,01:33.9,33.8,7.2,5,488,-4,東, 藤沢和雄,キャロットファーム
NHKM,2015,5,1,2,グランシルク,5,,2,,牡3,57,戸崎圭太,01:33.9,34.1,4.3,1,480,2,東, 戸田博文,シルクレーシング
NHKM,2015,6,7,14,ヤングマンパワー,4,,8,1,牡3,57,松岡正海,01:33.9,34,30.3,10,522,4,東, 手塚貴久,星野壽市
NHKM,2015,7,7,15,フミノムーン,6,,,4,牡3,57,幸英明,01:34.1,34,44.8,13,444,2,西, 西浦勝一,谷二
NHKM,2015,8,8,17,ニシノラッシュ,5,,3,3,牡3,57,田辺裕信,01:34.1,34.5,27.3,9,476,0,東, 田村康仁,西山茂行
NHKM,2015,9,5,10,アルマワイオリ,7,2,3,2,牡3,57,勝浦正樹,01:34.2,34.3,10.7,6,468,2,西, 西浦勝一,コウトミックレーシング
NHKM,2015,10,7,13,コスモナインボール,8,9,10,8,牡3,57,柴田大知,01:34.3,33.9,134.4,16,472,0,東, 和田雄二,ビッグレッドファーム
NHKM,2015,11,8,16,ダノンメジャー,6,,5,2,牡3,57,武豊,01:34.4,35,18,8,482,4,西, 橋口弘次,ダノックス
NHKM,2015,12,2,4,グァンチャーレ,7,,4,1,牡3,57,蛯名正義,01:34.4,34.3,34.3,11,440,-2,西, 北出成人,松本俊廣
NHKM,2015,13,6,11,ヤマカツエース,9,,1,3,牡3,57,池添謙一,01:34.5,34.9,14.2,7,488,6,西, 池添兼雄,山田和夫
NHKM,2015,14,2,3,クールホタルビ,8,14,13,1,牝3,55,吉田豊,01:34.8,34.6,156.2,18,440,6,西, 清水久詞,川上哲司
NHKM,2015,15,4,8,ナイトフォックス,7,,4,10,牡3,57,田中勝春,01:35.0,35.2,142.6,17,472,6,東, 大竹正博,石瀬浩三
NHKM,2015,16,3,6,レンイングランド,10,,,5,牡3,57,内田博幸,01:35.1,35.8,102.8,14,508,0,西, 矢作芳人,田畑勝彦
NHKM,2015,17,8,18,マテンロウハピネス,5,,12,3,牡3,57,浜中俊,01:35.4,36,35.6,12,444,2,西, 昆貢,寺田千代乃
NHKM,2015,18,3,5,タガノアザガル,8,10,,1,牡3,57,松田大作,01:35.5,35.8,106.9,15,432,-8,西, 千田輝彦,八木良司
NHKM,2016,1,2,4,メジャーエンブレム,6,1,,1,牝3,55,ルメール,01:32.8,35.1,2.3,1,496,-6,東, 田村康仁,サンデーレーシング
NHKM,2016,2,3,5,ロードクエスト,5,8,2,1,牡3,57,池添謙一,01:32.9,33.8,6.4,2,446,-6,東, 小島茂之,ロードホースクラブ
NHKM,2016,3,8,18,レインボーライン,9,,5,1,牡3,57,福永祐一,01:32.9,34.4,40.7,12,430,-2,西, 浅見秀一,三田昌宏
NHKM,2016,4,5,10,ダンツプリウス,10,,1,2,牡3,57,丸山元気,01:33.1,34.9,21.2,7,494,-4,西, 山内研二,山元哲二
NHKM,2016,5,4,7,トウショウドラフタ,7,,5,1,牡3,57,田辺裕信,01:33.1,34.2,10,5,460,-4,東, 萱野浩二,トウショウ産業
NHKM,2016,6,6,12,ハクサンルドルフ,4,,,,牡3,57,内田博幸,01:33.1,33.9,37.3,11,452,0,西, 西園正都,河崎五市
NHKM,2016,6,8,17,ブランボヌール,6,3,,1,牝3,55,三浦皇成,01:33.1,35.1,133,15,418,-4,西, 中竹和也,前田葉子
NHKM,2016,8,7,14,ブレイブスマッシュ,8,,7,2,牡3,57,横山典弘,01:33.1,34.3,29.6,9,478,2,東, 小笠倫弘,島川隆哉
NHKM,2016,9,7,15,ストーミーシー,6,,2,,牡3,57,江田照男,01:33.3,34.7,32.3,10,524,4,東, 斎藤誠,ミルファーム
